employee_ID,department_code,manager_ID
10001,d005,110022
10002,d007,110022
10003,d004,110022
10004,d004,110022
10005,d003,110022
10006,d005,110022
10007,d008,110022
10008,d005,110022
10009,d006,110022
10010,d004,110022
10011,d009,110022
10012,d005,110022
10013,d003,110022
10014,d005,110022
10015,d008,110022
10016,d007,110022
10017,d001,110022
10018,d004,110022
10019,d008,110022
10020,d004,110022
10021,d005,110039
10022,d005,110039
10023,d005,110039
10024,d004,110039
10025,d005,110039
10026,d004,110039
10027,d005,110039
10028,d005,110039
10029,d004,110039
10030,d004,110039
10031,d005,110039
10032,d004,110039
10033,d006,110039
10034,d007,110039
10035,d004,110039
10036,d003,110039
10037,d005,110039
10038,d009,110039
10039,d003,110039
10040,d005,110039
110022,d001,110039
110039,d001,110022
